idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1671,22/04/2017,Tr,NO,SI,15,28,36,37,41,10
1671,22/04/2017,Re,NO,SI,03,09,10,21,40,10
1672,26/04/2017,Tr,NO,SI,01,02,25,31,33,14
1672,26/04/2017,Re,NO,SI,09,12,16,28,38,01
1673,29/04/2017,Tr,NO,SI,06,19,25,28,36,01
1673,29/04/2017,Re,NO,SI,08,21,22,37,38,04
1674,03/05/2017,Tr,NO,SI,05,06,07,12,37,06
1674,03/05/2017,Re,NO,SI,05,12,15,20,42,14
1675,06/05/2017,Tr,NO,SI,01,20,36,39,43,10
1675,06/05/2017,Re,NO,SI,03,05,08,20,24,14
1676,10/05/2017,Tr,NO,SI,12,19,22,35,38,01
1676,10/05/2017,Re,NO,SI,03,04,29,40,43,04
1677,13/05/2017,Tr,NO,SI,11,19,27,28,37,08
1677,13/05/2017,Re,NO,SI,14,22,24,25,32,07
1678,17/05/2017,Tr,NO,SI,15,21,26,28,36,03
1678,17/05/2017,Re,NO,SI,01,20,25,27,34,03
1679,20/05/2017,Tr,NO,SI,01,11,28,31,41,09
1679,20/05/2017,Re,NO,SI,04,13,20,31,33,08
1680,24/05/2017,Tr,NO,SI,07,22,29,32,41,14
1680,24/05/2017,Re,NO,SI,11,28,31,33,41,07
1681,27/05/2017,Tr,NO,SI,08,12,20,36,40,01
1681,27/05/2017,Re,NO,SI,17,28,29,37,40,14
1682,31/05/2017,Tr,NO,SI,12,13,25,31,42,16
1682,31/05/2017,Re,NO,SI,05,20,21,25,26,03
1683,03/06/2017,Tr,NO,SI,03,26,33,34,38,16
1683,03/06/2017,Re,NO,SI,08,10,19,22,30,03
1684,07/06/2017,Tr,NO,SI,03,20,33,34,40,14
1684,07/06/2017,Re,NO,SI,03,13,16,20,26,01
1685,10/06/2017,Tr,NO,SI,13,20,26,29,40,07
1685,10/06/2017,Re,NO,SI,22,25,26,40,43,14
1686,14/06/2017,Tr,NO,SI,02,09,12,34,40,07
1686,14/06/2017,Re,NO,SI,05,13,17,22,40,13
1687,17/06/2017,Tr,NO,SI,09,20,24,31,33,16
1687,17/06/2017,Re,NO,SI,10,19,32,38,40,14
1688,21/06/2017,Tr,NO,SI,04,06,14,17,29,05
1688,21/06/2017,Re,NO,SI,12,21,25,27,34,10
1689,24/06/2017,Tr,NO,SI,03,04,09,20,32,11
1689,24/06/2017,Re,NO,SI,01,03,07,16,32,04
1690,28/06/2017,Tr,NO,SI,18,22,32,37,39,02
1690,28/06/2017,Re,NO,SI,04,07,08,24,41,13
1691,01/07/2017,Tr,NO,SI,10,16,18,35,40,06
1691,01/07/2017,Re,NO,SI,04,17,21,35,40,01
1692,05/07/2017,Tr,NO,SI,20,22,25,37,43,08
1692,05/07/2017,Re,NO,SI,16,25,31,32,34,05
1693,08/07/2017,Tr,NO,SI,01,07,12,19,21,08
1693,08/07/2017,Re,NO,SI,13,15,16,31,37,14
1694,12/07/2017,Tr,NO,SI,07,23,30,33,36,04
1694,12/07/2017,Re,NO,SI,01,11,19,20,37,05
1695,15/07/2017,Tr,NO,SI,07,23,24,34,39,04
1695,15/07/2017,Re,NO,SI,26,29,30,35,36,06
1696,19/07/2017,Tr,NO,SI,14,15,20,25,40,12
1696,19/07/2017,Re,NO,SI,09,10,27,35,42,12
1697,22/07/2017,Tr,NO,SI,06,09,15,37,42,16
1697,22/07/2017,Re,NO,SI,04,29,30,31,42,16
1698,26/07/2017,Tr,NO,SI,01,27,31,34,36,11
1698,26/07/2017,Re,NO,SI,17,18,31,34,39,14
1699,29/07/2017,Tr,NO,SI,03,13,14,17,23,02
1699,29/07/2017,Re,NO,SI,11,14,23,30,35,12
1700,02/08/2017,Tr,NO,SI,01,22,31,32,37,16
1700,02/08/2017,Re,NO,SI,04,17,33,34,35,14
1701,05/08/2017,Tr,NO,SI,14,25,28,37,41,13
1701,05/08/2017,Re,NO,SI,02,06,08,12,29,13
1702,09/08/2017,Tr,NO,SI,04,05,09,13,40,15
1702,09/08/2017,Re,NO,SI,03,12,14,23,41,10
1703,12/08/2017,Tr,NO,SI,15,16,18,19,37,11
1703,12/08/2017,Re,NO,SI,10,12,27,34,40,10
1704,16/08/2017,Tr,NO,SI,06,14,32,34,42,10
1704,16/08/2017,Re,NO,SI,04,06,20,29,38,12
1705,19/08/2017,Tr,NO,SI,01,05,06,13,26,06
