idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
2014,09/09/2020,Re,NO,SI,01,09,18,23,38,06
2014,09/09/2020,Tr,NO,SI,07,11,16,30,35,03
2013,05/09/2020,Re,NO,SI,04,08,24,26,32,15
2013,05/09/2020,Tr,NO,SI,02,10,27,30,31,10
2012,02/09/2020,Re,NO,SI,04,11,22,34,38,04
2012,02/09/2020,Tr,NO,SI,03,19,20,21,28,13
2011,29/08/2020,Re,NO,SI,16,19,20,22,25,06
2011,29/08/2020,Tr,NO,SI,10,18,21,24,43,16
2010,26/08/2020,Re,NO,SI,03,19,23,30,40,13
2010,26/08/2020,Tr,NO,SI,08,17,26,27,31,11
2009,22/08/2020,Re,NO,SI,01,11,24,32,39,04
2009,22/08/2020,Tr,NO,SI,07,18,23,31,36,14
2008,19/08/2020,Re,NO,SI,01,04,10,14,25,14
2008,19/08/2020,Tr,NO,SI,02,07,14,25,31,10
2007,15/08/2020,Re,NO,SI,05,15,27,36,38,15
2007,15/08/2020,Tr,NO,SI,13,29,30,40,42,10
2006,12/08/2020,Re,NO,SI,08,25,31,33,39,10
2006,12/08/2020,Tr,NO,SI,01,13,24,27,39,16
2005,08/08/2020,Re,NO,SI,07,15,26,41,43,09
2005,08/08/2020,Tr,NO,SI,04,11,22,25,26,08
2004,05/08/2020,Re,NO,SI,05,27,34,36,39,10
2004,05/08/2020,Tr,NO,SI,18,24,28,36,40,05
2003,01/08/2020,Re,NO,SI,02,15,27,28,41,02
2003,01/08/2020,Tr,NO,SI,07,24,29,30,38,05
2002,29/07/2020,Re,NO,SI,02,04,06,16,34,12
2002,29/07/2020,Tr,NO,SI,02,08,14,19,28,07
2001,25/07/2020,Re,NO,SI,03,11,15,23,26,09
2001,25/07/2020,Tr,NO,SI,05,12,25,26,43,07
2000,22/07/2020,Re,NO,SI,15,21,23,36,37,06
2000,22/07/2020,Tr,NO,SI,02,22,24,27,37,06
1999,18/07/2020,Re,NO,SI,12,15,29,39,41,04
1999,18/07/2020,Tr,NO,SI,05,06,07,28,32,16
1998,15/07/2020,Re,NO,SI,03,19,30,36,39,01
1998,15/07/2020,Tr,NO,SI,04,05,13,16,41,02
1997,11/07/2020,Re,NO,SI,01,02,05,30,43,07
1997,11/07/2020,Tr,NO,SI,10,13,22,26,42,05
1996,08/07/2020,Re,NO,SI,01,23,24,26,42,09
1996,08/07/2020,Tr,NO,SI,22,34,36,37,43,12
1995,04/07/2020,Re,NO,SI,23,24,25,26,38,10
1995,04/07/2020,Tr,NO,SI,03,30,32,38,41,06
1994,01/07/2020,Re,NO,SI,07,08,13,27,41,15
1994,01/07/2020,Tr,NO,SI,01,08,14,23,40,11
1993,27/06/2020,Re,NO,SI,04,09,25,31,36,15
1993,27/06/2020,Tr,NO,SI,08,12,16,21,27,16
1992,24/06/2020,Re,NO,SI,03,12,29,33,37,05
1992,24/06/2020,Tr,NO,SI,05,29,33,34,39,09
1991,20/06/2020,Re,NO,SI,14,25,28,34,36,05
1991,20/06/2020,Tr,NO,SI,05,14,28,31,39,10
1990,17/06/2020,Re,NO,SI,07,14,19,37,40,13
